Accession,Country,Collection_Date
AB769152.1,Japan,2011-06
AB769154.2,Japan,2011-06
AB769156.2,Japan,2011-06
AB769159.2,Japan,2011-06
AB769160.1,Japan,2011-06
AB769161.2,Japan,2011-06
AB769162.2,Japan,2011-06
AB769163.1,Japan,2011-10
AB769164.2,Japan,2011-10
AB769165.1,Japan,2011-10
D90457.1,,1970
JF742576.1,China,2010-09-30
JF742577.1,China,2010-09-14
JF742578.1,China,2007
JF742579.1,China,2007
JN228097.1,South Korea,2004-08-08
KF667358.1,India,2010
KF667359.1,India,2010
KF667360.1,India,2010
KF667361.1,India,2010
KF725085.1,Malaysia,2002-07-01
KR399988.1,France,2015-03-12
KR478685.1,France,2015-03-12
MF419263.1,French Guiana,2017-06
MG880745.2,Mexico,2017-10-11
MG880747.2,Mexico,2017-10-02
MG880748.2,Mexico,2017-10-02
MG880749.2,Mexico,2017-10-11
MG880750.2,Mexico,2017-10-11
MG880751.2,Mexico,2017-10-02
MG880752.2,Mexico,2017-10-02
MZ171074.1,China,1988
MZ171075.1,China,1988
MZ171076.1,China,1988
MZ171077.1,China,1988
MZ171078.1,China,1988
MZ171079.1,China,1988
MZ171080.1,China,1988
MZ171081.1,China,1994
MZ171082.1,China,1994
MZ171083.1,China,1994
MZ171084.1,China,1994
MZ171085.1,China,1994
MZ171086.1,China,1994
MZ171087.1,China,1994
MZ171088.1,China,2007
MZ171089.1,China,2007
MZ171090.1,China,2007
MZ171091.1,China,2007
MZ171092.1,China,2007
MZ171093.1,China,2007
MZ171094.1,China,2007
MZ171095.1,China,2007
MZ171096.1,China,2007
OR361387.1,China,2023-06-02
OR361388.1,China,2023-06-02
OR361389.1,China,2023-06-02
OR361390.1,China,2023-06-02
OR633288.1,Pakistan,2023-09
OR803779.1,China,2023-05-26
OR803780.1,China,2023-05-26
PP028461.1,Pakistan,2023-09
PP548237.1,France,2024-01-19
PP548238.1,France,2024-01-18
PP548239.1,France,2024-01-17
PP548240.1,France,2024-01-16
PP548242.1,France,2024-01-16
